Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
1526706000.0,2018-05-19 05-AM,ETHUSD,692,693.73,688.16,689,35.67,24658.34
1526702400.0,2018-05-19 04-AM,ETHUSD,694,694,688.11,692,31.67,21906.78
1526698800.0,2018-05-19 03-AM,ETHUSD,689.99,695,685,694,46.71,32286.2
1526695200.0,2018-05-19 02-AM,ETHUSD,684.5,689.99,684.5,689.99,11.72,8045.92
1526691600.0,2018-05-19 01-AM,ETHUSD,689.54,690,683.99,684.5,67.42,46229.13
1526688000.0,2018-05-19 12-AM,ETHUSD,691.69,699,684,689.54,112.44,77848.79
1526684400.0,2018-05-18 11-PM,ETHUSD,690.18,701.11,690.18,691.69,397.18,276920.29
1526680800.0,2018-05-18 10-PM,ETHUSD,687.66,693.28,686.75,690.18,17.22,11894.56
1526677200.0,2018-05-18 09-PM,ETHUSD,684.53,692.5,684.53,687.66,42.13,29116.57
1526673600.0,2018-05-18 08-PM,ETHUSD,692.75,692.75,682,684.53,55.1,37773.07
1526670000.0,2018-05-18 07-PM,ETHUSD,686,693.28,685.35,692.75,111.15,76654.97
1526666400.0,2018-05-18 06-PM,ETHUSD,681.97,689,676.73,686,128.76,88215.27
1526662800.0,2018-05-18 05-PM,ETHUSD,680.5,682,678.6,681.97,111.96,76136.62
1526659200.0,2018-05-18 04-PM,ETHUSD,676.04,681,672.75,680.5,88.56,60040.86
1526655600.0,2018-05-18 03-PM,ETHUSD,672,681,668.1,676.04,175.57,118063.33
1526652000.0,2018-05-18 02-PM,ETHUSD,677.68,677.68,667,672,115.05,77351.11
1526648400.0,2018-05-18 01-PM,ETHUSD,682,682,676,677.68,69.05,46817.77
1526644800.0,2018-05-18 12-PM,ETHUSD,677.61,682.5,677.01,682,176.31,119860.5
1526641200.0,2018-05-18 11-AM,ETHUSD,684.88,686.8,676.84,677.61,147.72,100607.72
1526637600.0,2018-05-18 10-AM,ETHUSD,676.84,689.86,676.84,684.88,445.45,305425.88
1526634000.0,2018-05-18 09-AM,ETHUSD,681.6,685,676.84,676.84,28.03,19112.11
1526630400.0,2018-05-18 08-AM,ETHUSD,678,683,676,681.6,53.7,36454.38
1526626800.0,2018-05-18 07-AM,ETHUSD,669,683,666,678,226.0,152261.54
1526623200.0,2018-05-18 06-AM,ETHUSD,675.79,677.5,668,669,52.65,35376.43
1526619600.0,2018-05-18 05-AM,ETHUSD,673.5,676.89,670,675.79,49.83,33541.56
1526616000.0,2018-05-18 04-AM,ETHUSD,667,679.9,667,673.5,139.24,94007.24
1526612400.0,2018-05-18 03-AM,ETHUSD,668.02,674,667,667,46.68,31335.17
1526608800.0,2018-05-18 02-AM,ETHUSD,668,674.98,663.16,668.02,529.74,355909.04
1526605200.0,2018-05-18 01-AM,ETHUSD,664.31,672.36,659,668,149.57,99934.33
1526601600.0,2018-05-18 12-AM,ETHUSD,669.76,670,657,664.31,368.55,244718.68
1526598000.0,2018-05-17 11-PM,ETHUSD,673.16,679,663.83,669.76,229.19,154195.37
1526594400.0,2018-05-17 10-PM,ETHUSD,678.05,680.2,660,673.16,650.26,433093.01
1526590800.0,2018-05-17 09-PM,ETHUSD,686.67,687,678.05,678.05,37.88,25894.41
1526587200.0,2018-05-17 08-PM,ETHUSD,682.8,695,682.8,686.67,279.35,192945.08
1526583600.0,2018-05-17 07-PM,ETHUSD,680,685.4,679.44,682.8,58.13,39702.24
1526580000.0,2018-05-17 06-PM,ETHUSD,692.01,694.47,678.31,680,508.76,347973.9
1526576400.0,2018-05-17 05-PM,ETHUSD,695.6,701,692.01,692.01,326.87,227114.34
1526572800.0,2018-05-17 04-PM,ETHUSD,706,706,692.6,695.6,795.47,553736.79
1526569200.0,2018-05-17 03-PM,ETHUSD,703.42,707,700,706,128.48,90142.21
1526565600.0,2018-05-17 02-PM,ETHUSD,702,707.93,698.82,703.42,103.78,73125.55
1526562000.0,2018-05-17 01-PM,ETHUSD,697,703,692.13,702,202.75,141649.59
1526558400.0,2018-05-17 12-PM,ETHUSD,700,703.9,696,697,67.34,47155.8
1526554800.0,2018-05-17 11-AM,ETHUSD,700.9,703.9,696.46,700,117.42,82213.11
1526551200.0,2018-05-17 10-AM,ETHUSD,702.1,704,695.39,700.9,245.68,171739.99
